wkt_geom,left,top,right,bottom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,Crop,AUTO
MultiPoint ((11699434.77801547385752201 1483940.35880533838644624)),11699384.78,1483990.359,11699484.78,1483890.359,239,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1485440.35880533838644624)),11699484.78,1485490.359,11699584.78,1485390.359,244,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484940.35880533838644624)),11699484.78,1484990.359,11699584.78,1484890.359,249,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484840.35880533838644624)),11699484.78,1484890.359,11699584.78,1484790.359,250,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1485140.35880533838644624)),11699484.78,1485190.359,11699584.78,1485090.359,247,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1485040.35880533838644624)),11699484.78,1485090.359,11699584.78,1484990.359,248,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484540.35880533838644624)),11699484.78,1484590.359,11699584.78,1484490.359,253,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484440.35880533838644624)),11699484.78,1484490.359,11699584.78,1484390.359,254,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484740.35880533838644624)),11699484.78,1484790.359,11699584.78,1484690.359,251,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484640.35880533838644624)),11699484.78,1484690.359,11699584.78,1484590.359,252,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484140.35880533838644624)),11699484.78,1484190.359,11699584.78,1484090.359,257,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484040.35880533838644624)),11699484.78,1484090.359,11699584.78,1483990.359,258,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484340.35880533838644624)),11699484.78,1484390.359,11699584.78,1484290.359,255,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1484240.35880533838644624)),11699484.78,1484290.359,11699584.78,1484190.359,256,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1485340.35880533838644624)),11699384.78,1485390.359,11699484.78,1485290.359,225,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1485240.35880533838644624)),11699384.78,1485290.359,11699484.78,1485190.359,226,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1485440.35880533838644624)),11699384.78,1485490.359,11699484.78,1485390.359,224,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484940.35880533838644624)),11699384.78,1484990.359,11699484.78,1484890.359,229,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484840.35880533838644624)),11699384.78,1484890.359,11699484.78,1484790.359,230,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1485140.35880533838644624)),11699384.78,1485190.359,11699484.78,1485090.359,227,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1485040.35880533838644624)),11699384.78,1485090.359,11699484.78,1484990.359,228,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484540.35880533838644624)),11699384.78,1484590.359,11699484.78,1484490.359,233,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484440.35880533838644624)),11699384.78,1484490.359,11699484.78,1484390.359,234,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484740.35880533838644624)),11699384.78,1484790.359,11699484.78,1484690.359,231,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484640.35880533838644624)),11699384.78,1484690.359,11699484.78,1484590.359,232,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484140.35880533838644624)),11699384.78,1484190.359,11699484.78,1484090.359,237,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484040.35880533838644624)),11699384.78,1484090.359,11699484.78,1483990.359,238,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484340.35880533838644624)),11699384.78,1484390.359,11699484.78,1484290.359,235,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699434.77801547385752201 1484240.35880533838644624)),11699384.78,1484290.359,11699484.78,1484190.359,236,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11698934.77801547385752201 1485040.35880533838644624)),11698884.78,1485090.359,11698984.78,1484990.359,128,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484940.35880533838644624)),11698884.78,1484990.359,11698984.78,1484890.359,129,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1485240.35880533838644624)),11698884.78,1485290.359,11698984.78,1485190.359,126,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1485140.35880533838644624)),11698884.78,1485190.359,11698984.78,1485090.359,127,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484640.35880533838644624)),11698884.78,1484690.359,11698984.78,1484590.359,132,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484540.35880533838644624)),11698884.78,1484590.359,11698984.78,1484490.359,133,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484840.35880533838644624)),11698884.78,1484890.359,11698984.78,1484790.359,130,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484740.35880533838644624)),11698884.78,1484790.359,11698984.78,1484690.359,131,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484240.35880533838644624)),11698884.78,1484290.359,11698984.78,1484190.359,136,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484140.35880533838644624)),11698884.78,1484190.359,11698984.78,1484090.359,137,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484440.35880533838644624)),11698884.78,1484490.359,11698984.78,1484390.359,134,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484340.35880533838644624)),11698884.78,1484390.359,11698984.78,1484290.359,135,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11699034.77801547385752201 1485240.35880533838644624)),11698984.78,1485290.359,11699084.78,1485190.359,146,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11699034.77801547385752201 1485140.35880533838644624)),11698984.78,1485190.359,11699084.78,1485090.359,147,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698934.77801547385752201 1484040.35880533838644624)),11698884.78,1484090.359,11698984.78,1483990.359,138,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11699034.77801547385752201 1485340.35880533838644624)),11698984.78,1485390.359,11699084.78,1485290.359,145,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698734.77801547385752201 1484040.35880533838644624)),11698684.78,1484090.359,11698784.78,1483990.359,98,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1485240.35880533838644624)),11698784.78,1485290.359,11698884.78,1485190.359,106,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698734.77801547385752201 1484240.35880533838644624)),11698684.78,1484290.359,11698784.78,1484190.359,96,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698734.77801547385752201 1484140.35880533838644624)),11698684.78,1484190.359,11698784.78,1484090.359,97,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484940.35880533838644624)),11698784.78,1484990.359,11698884.78,1484890.359,109,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484840.35880533838644624)),11698784.78,1484890.359,11698884.78,1484790.359,110,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1485140.35880533838644624)),11698784.78,1485190.359,11698884.78,1485090.359,107,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1485040.35880533838644624)),11698784.78,1485090.359,11698884.78,1484990.359,108,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484540.35880533838644624)),11698784.78,1484590.359,11698884.78,1484490.359,113,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484440.35880533838644624)),11698784.78,1484490.359,11698884.78,1484390.359,114,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484740.35880533838644624)),11698784.78,1484790.359,11698884.78,1484690.359,111,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484640.35880533838644624)),11698784.78,1484690.359,11698884.78,1484590.359,112,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484140.35880533838644624)),11698784.78,1484190.359,11698884.78,1484090.359,117,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484040.35880533838644624)),11698784.78,1484090.359,11698884.78,1483990.359,118,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484340.35880533838644624)),11698784.78,1484390.359,11698884.78,1484290.359,115,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698834.77801547385752201 1484240.35880533838644624)),11698784.78,1484290.359,11698884.78,1484190.359,116,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698634.77801547385752201 1484340.35880533838644624)),11698584.78,1484390.359,11698684.78,1484290.359,75,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698634.77801547385752201 1484240.35880533838644624)),11698584.78,1484290.359,11698684.78,1484190.359,76,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698634.77801547385752201 1484540.35880533838644624)),11698584.78,1484590.359,11698684.78,1484490.359,73,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698634.77801547385752201 1484440.35880533838644624)),11698584.78,1484490.359,11698684.78,1484390.359,74,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698734.77801547385752201 1485240.35880533838644624)),11698684.78,1485290.359,11698784.78,1485190.359,86,118.7975192,Avocado,A,4,,b,A4-b,,1
MultiPoint ((11698734.77801547385752201 1485140.35880533838644624)),11698684.78,1485190.359,11698784.78,1485090.359,87,118.7975192,Avocado,A,4,,b,A4-b,,1
